cod,name,price,link
"
                    Арт. 3302                ",Кресло директорское до 200кг. WD808-22,2300.00 ,/catalog/kempingovaya_mebel/kreslo_direktorskoe_do_200kg_wd808_22/
"
                    Арт. 3301                ","Стул со спинкой зеленый, синий, красный",1600.00 ,/catalog/kempingovaya_mebel/stul_so_spinkoy_zelenyy_siniy_krasnyy/
"
                    Арт. 4527                ",Гамак (ткань),2000.00 ,/catalog/kempingovaya_mebel/gamak_tkan/
"
                    Арт. 5330                ",Стул туристический со спинкой Shark СР 450.22c труба ф22 (Т-ТС-450.22s-S) Helios,1500.00 ,/catalog/kempingovaya_mebel/stul_turisticheskiy_so_spinkoy_shark_sr_450_22c_truba_f22_t_ts_450_22s_s_helios/
"
                    Арт. 5442                ",Раскладушка с матрасом съемным,4000.00 ,/catalog/kempingovaya_mebel/raskladushka_s_matrasom_semnym/
"
                    Арт. 5443                ",Стул-кресло складное туристическое Camp Master до 200 кг ,4800.00 ,/catalog/kempingovaya_mebel/stul_kreslo_skladnoe_turisticheskoe_camp_master_do_200_kg_/
"
                    Арт. 2791                ",Кресло-Шезлонг маленький,2000.00 ,/catalog/kempingovaya_mebel/kreslo_shezlong_malenkiy/
"
                    Арт. 5444                ",Стол складной реечный туристический 140х70х70см,6000.00 ,/catalog/kempingovaya_mebel/stol_skladnoy_reechnyy_turisticheskiy_140kh70kh70sm/
"
                    Арт. 1941                ",Столик алюминиевый раскладной 1600х600х700,4500.00 ,/catalog/kempingovaya_mebel/stolik_alyuminievyy_raskladnoy_1600kh600kh700/
"
                    Арт. 227                ",Стул раскладной квадр труба со спинкой,700.00 ,/catalog/kempingovaya_mebel/stul_raskladnoy_kvadr_truba_so_spinkoy/
"
                    Арт. 428                ",Шезлонг с подголовником WD6014-250,4000.00 ,/catalog/kempingovaya_mebel/shezlong_s_podgolovnikom_wd6014_250/
"
                    Арт. 426                ",Кресло круглое 8028-D,2980.00 ,/catalog/kempingovaya_mebel/kreslo_krugloe_8028_d/
"
                    Арт. 420                ",Столик раскладной пластмассовый 120х600х74 120HT-FH122,4500.00 ,/catalog/kempingovaya_mebel/stolik_raskladnoy_plastmassovyy_120kh600kh74_120ht_fh122/
"
                    Арт. 5329                ",Стул туристический Shark СР 450.22 труба ф22(Т-ТС-450.22-S) Helios,1100.00 ,/catalog/kempingovaya_mebel/stul_turisticheskiy_shark_sr_450_22_truba_f22_t_ts_450_22_s_helios/
"
                    Арт. 3487                ",Стул раскладной квадр труба без спинки,500.00 ,/catalog/kempingovaya_mebel/stul_raskladnoy_kvadr_truba_bez_spinki/
"
                    Арт. 5197                ",Раскладушка походная LW1 1004-200,5000.00 ,/catalog/kempingovaya_mebel/raskladushka_pokhodnaya_lw1_1004_200/
"
                    Арт. 1210                ",Кресло складное ЖУК,1500.00 ,/catalog/kempingovaya_mebel/kreslo_skladnoe_zhuk/
"
                    Арт. 1379                ",Раскладушка походная,4500.00 ,/catalog/kempingovaya_mebel/raskladushka_pokhodnaya/
"
                    Арт. 3526                ",Столик с 4-мя стульями 120х60х54 5мм WD400,3400.00 ,/catalog/kempingovaya_mebel/stolik_s_4_mya_stulyami_120kh60kh54_5mm_wd400/
"
                    Арт. 5328                ",Стул туристический со спинкой Shark СР 400.22c труба ф22 (Т-ТС-450.22-S) Helios,1450.00 ,/catalog/kempingovaya_mebel/stul_turisticheskiy_so_spinkoy_shark_sr_400_22c_truba_f22_t_ts_450_22_s_helios/
"
                    Арт. 5207                ",Столик раскладной пластмассовый 180х700х74 180HB-BZ180,6000.00 ,/catalog/kempingovaya_mebel/stolik_raskladnoy_plastmassovyy_180kh700kh74_180hb_bz180/
